t,S_alpha=0.9,I_alpha=0.9,R_alpha=0.9,S_alpha=0.8,I_alpha=0.8,R_alpha=0.8,S_alpha=0.7,I_alpha=0.7,R_alpha=0.7,S_alpha=0.6,I_alpha=0.6,R_alpha=0.6,S_alpha=0.5,I_alpha=0.5,R_alpha=0.5,S_alpha=0.4,I_alpha=0.4,R_alpha=0.4,S_alpha=0.3,I_alpha=0.3,R_alpha=0.3,S_alpha=0.2,I_alpha=0.2,R_alpha=0.2,S_alpha=0.1,I_alpha=0.1,R_alpha=0.1
10.0,0.16877514222834653,0.12176519553465279,0.7153764956117996,0.213162067612297,0.13300559167757114,0.6691723738716463,0.25300630188896595,0.14282070591549628,0.6259510218475309,0.28847211802362677,0.1511758247838713,0.5840127584430056,0.31962345361453454,0.1583742960925444,0.5437132813252405,0.34659882913835693,0.1648324541463877,0.5059822856605923,0.36968775636212714,0.17094634955902163,0.47158605964855227,0.38931689564838723,0.1770300707625748,0.4408697346025843,0.4059873641692203,0.18330205429473156,0.41376313314684127
10.5,0.1655083557335399,0.11459961138362934,0.725787631270415,0.21050313215136102,0.12726452689940837,0.6774426561499781,0.25082399904231883,0.13825219804624045,0.6324117524279216,0.28669317825869656,0.1475900261600095,0.5889473555637366,0.3182044824690983,0.15561903764634966,0.5473873979628725,0.34551043483759386,0.16278508454572013,0.508632458863732,0.36890618431128785,0.1695095088180061,0.4734044857768568,0.3888197415910964,0.17612754632621994,0.44199826345266363,0.4057513729258059,0.18287433412035953,0.41429739172542285
11.0,0.1626008159125555,0.10788591775660998,0.7353883578127335,0.20811452550968643,0.12185797450709816,0.685114314072335,0.24883794209593846,0.13393475983570086,0.6384411143254181,0.2850529907058338,0.14419313781754636,0.5935804077460382,0.3168817010128607,0.15300475769851105,0.5508573447719491,0.3444873949303137,0.16084059561348515,0.5111488801039438,0.3681674347881461,0.1681442858415064,0.47513883547985636,0.38834828961671347,0.17527006072885978,0.4430779410500188,0.40552726754635127,0.1824681777584973,0.41480926752955416
11.5,0.16001106544287474,0.10160211288928943,0.744242097191064,0.2059657321850171,0.11676597910167139,0.692237302966967,0.24702638917330969,0.129850921524619,0.6440768394235955,0.2835365837331009,0.14097043717475496,0.5979390098683934,0.3156450914977376,0.15051955463497405,0.5541415692965828,0.34352316430147056,0.15898981907762932,0.513543455079626,0.36746736516172734,0.16684406704121418,0.4767963618248546,0.38790011060494795,0.1744533565361407,0.44411282357846577,0.40531393509368613,0.18208151396441383,0.415300563001891
12.0,0.15770305028205342,0.09572542937351104,0.7524076348620083,0.20403026814429517,0.11196928781913426,0.698856902732821,0.24537054140141604,0.12598454718313717,0.6493525710055147,0.28213105163845664,0.13790869478840845,0.6020470487864877,0.31448602681889154,0.14815291731674338,0.5572562281281553,0.34261209922416785,0.15722474396140096,0.5158265889135945,0.3668023941101265,0.1656031109566017,0.47838341542790697,0.38747309931187934,0.17367375201521026,0.4451064788809943,0.4051104096741297,0.18171255575474476,0.41577287168549726
12.5,0.1556453341467218,0.09023289036491083,0.7599393494919773,0.20228506620966466,0.10744947973726651,0.705014194855834,0.24385407067038234,0.12232074543861451,0.6542983954195642,0.2808252089737616,0.1349959899933798,0.6059256745051498,0.31339703195273105,0.1458955192753665,0.5602155458434346,0.34174930178018204,0.15553833033703113,0.5180074275997106,0.3661694055778737,0.1644164015848849,0.4799055889850778,0.3870654197715254,0.17292804194670397,0.4460620622558384,0.40491584794137164,0.18135975076374064,0.41622760917273494
13.0,0.15381043649690093,0.08510172417004175,0.76688746059109,0.20070996726243745,0.10318904247771686,0.710746487731108,0.24246273485415606,0.1188457796824412,0.6589412923910477,0.2796093124603938,0.13222155309269834,0.6095936888481099,0.31237159365099393,0.14373904948351018,0.5630321066107463,0.3409304961614887,0.15392435905581772,0.5200940527316519,0.3655656723135316,0.1632795312676021,0.48136783384383786,0.3866754616567994,0.1722134188885641,0.44698237803142005,0.4047295094411996,0.18102174196526521,0.41666603856118795
13.5,0.15217427380858897,0.08030966718126833,0.7732982843904683,0.199287297084861,0.09917141011349176,0.7160876961290453,0.24118406218973854,0.11554698041092909,0.6633055184361096,0.27847483545924123,0.12957562977651188,0.6130678683595846,0.3114040072406502,0.14167607217206898,0.5657170930634061,0.3401519293645626,0.15237730942979355,0.5220936399729137,0.36498879440358634,0.16218860627032147,0.4827745548902055,0.386301805077216,0.17152741003773683,0.4478699300178597,0.4045507407048857,0.1806973362710143,0.4170892915374762
14.0,0.150715687196115,0.07583517931543045,0.7792144907889674,0.1980015128592859,0.0953809730316896,0.7210686799459863,0.2400070907689365,0.11241266133338494,0.6674129348821473,0.2774142836883988,0.1270493642230651,0.6163632343258052,0.31048925225623464,0.13969990991448075,0.5682804834717373,0.339410290756429,0.15089225885274765,0.5240125890893299,0.36443664942019566,0.16114016998036237,0.48412968843749565,0.3859431919397032,0.1708678261272484,0.4487269631706986,0.4043789622730758,0.1803854791853508,0.41749838595431926
14.5,0.1494160422441958,0.07165759132706273,0.7846753561674003,0.1968389066001374,0.09180306777659228,0.7257175467837764,0.23892215226717353,0.1094320401855803,0.6712832897323848,0.27642104359626835,0.12463469796021609,0.6194932799428036,0.3096228906932496,0.13780454549812932,0.5707312156416429,0.33870264639091513,0.14946479980433147,0.5258566314625486,0.3639073516556888,0.16013113992284309,0.48543676665830254,0.3855985024646886,0.17023271970966178,0.4495554982479789,0.40421365803106274,0.1800852341688606,0.41789424057437646
