t,S_h=0.5_x,I_h=0.5_x,R_h=0.5_x,S_h=0.5_y,I_h=0.5_y,R_h=0.5_y,S_h=0.5_x,I_h=0.5_x,R_h=0.5_x,S_h=0.5_y,I_h=0.5_y,R_h=0.5_y
32.5,0.14193697081413384,0.025626777470631922,0.8377946766596835,0.18854383446187037,0.04736646193768326,0.7764339742550024,0.22874712126324862,0.06926809218600238,0.7175523257606281,0.2651674097734283,0.09017087523819253,0.6596815053351955
33.0,0.14195031425649154,0.024869338512660922,0.838531275226785,0.18847724538682967,0.04647381187729149,0.7773571120305425,0.22857067263925768,0.06836227380367761,0.7185653226471311,0.2649172309031507,0.08933513327770211,0.660677692238174
33.5,0.14197300930934223,0.024145576233057374,0.8392249585073591,0.188419769883657,0.045610704174180394,0.7782422173814324,0.22840287788249639,0.06748040538616155,0.7195470311801453,0.26467484825121784,0.08851786324196943,0.6616494593236263
34.0,0.14200438291044826,0.023453730535866284,0.8398781564773247,0.1883708560716489,0.044775873878447475,0.7790910877037027,0.22824330592019657,0.06662159637251269,0.720498729453377,0.26443993368878965,0.08771844213186882,0.6625976934152378
34.5,0.14204380826221227,0.022792141723349153,0.8404931525790673,0.1883299870631402,0.04396811964121673,0.7799054226668437,0.2280915507966657,0.06578499769498375,0.7214216309875453,0.2642121766857997,0.08693627485072666,0.6635232389587943
35.0,0.14209070143017175,0.022159244515064035,0.8410720930970829,0.18829667848755707,0.04318630014730853,0.7806868302070341,0.22794722996379163,0.06496979949237773,0.7223168886041079,0.26399128316199777,0.08617079265530593,0.6644269005266517
35.5,0.14214451821645357,0.021553562420435313,0.8416169959055961,0.18827047621241877,0.04242933076215973,0.7814368321126911,0.22780998270547043,0.06417522896710574,0.7231855980302986,0.2637769744263627,0.08542145170903727,0.665309445146081
36.0,0.14220475128353346,0.02097370244625661,0.8421297586313453,0.18825095424375224,0.04169618037989622,0.7821568692326849,0.22767946868406336,0.06340054837593019,0.7240288012566244,0.2635689861970684,0.08468773172969483,0.6661716044658584
36.5,0.14227092750609496,0.020418350121069406,0.8426121662717616,0.18823771279012172,0.04098586846019573,0.7828483063351149,0.22755536659816877,0.06264505314513151,0.7248474896661,0.26336706769496665,0.08396913472438941,0.6670140767741096
37.0,0.1423426055309629,0.01988626481894078,0.8430658983060174,0.18823037647601334,0.04029746224229071,0.7835124366423178,0.22743737294204708,0.06190807010153186,0.7256426069528371,0.2631709808042464,0.08326518380536044,0.6678375288792424
37.5,0.14241937352703793,0.01937627536580394,0.843492535333827,0.18822859269169898,0.03963007412514427,0.7841504860657337,0.2273252008579762,0.0611889558114504,0.7264150518460661,0.262980499294546,0.08257542208059952,0.6686425978647191
38.0,0.1425008471088904,0.018887275912204907,0.8438935652744838,0.1882320300679321,0.038982859203487916,0.7847636171623927,0.22721857907365084,0.06048709502025346,0.7271656806542963,0.262795408099341,0.08189941161383792,0.6694298927274878
38.5,0.1425866674192329,0.018418222057001835,0.8442703891563366,0.18824037706493127,0.03835501295003189,0.7853529328330769,0.22711725091748666,0.059801899185706,0.7278953096431003,0.26261550264593014,0.08123673244888231,0.6701999959089814
