t,alpha=0.99,alpha=0.95,alpha=0.9,alpha=0.85,alpha=0.75,alpha=0.5,alpha=0.25,alpha=0.05,alpha=0.01
0.43,1.000086206557635,1.0017284900447725,1.0052211432083034,1.0088189265366607,1.0135402730829128,1.0106556639350663,1.0032719101385488,1.0003484994041252,1.0000602398391205
0.435,1.0000862028626762,1.0017276170300458,1.005215489738319,1.008804282797216,1.0135021474153856,1.0105948961612898,1.0032438096000662,1.0003447022985177,1.0000595557027008
0.44,1.0000861991394843,1.001726753009397,1.0052099026301344,1.008789823159777,1.0134645522885999,1.0105351562423595,1.0032162658016057,1.0003409891504145,1.0000588870068803
0.445,1.0000861953902787,1.0017258978081192,1.0052043804185666,1.0087755433507763,1.0134274745658676,1.0104764155273152,1.0031892616040488,1.0003373571829495,1.0000582332339278
0.45,1.0000861916171495,1.0017250512563354,1.0051989216854633,1.0087614392401973,1.013390901575014,1.0104186464708784,1.003162780579787,1.0003338037408707,1.0000575938890213
0.455,1.0000861878220708,1.0017242131888329,1.005193525057742,1.0087475068352942,1.0133548210871413,1.0103618225791884,1.0031368069757172,1.0003303262839374,1.0000569684989928
0.46,1.000086184006903,1.0017233834449013,1.0051881892055206,1.008733742274658,1.013319221296572,1.0103059183587686,1.003111325678546,1.000326922380746,1.0000563566111578
0.465,1.0000861801734031,1.0017225618681784,1.005182912840349,1.00872014182259,1.0132840908019116,1.0102509092684766,1.0030863221822217,1.0003235897029497,1.000055757792217
0.47000000000000003,1.000086176323229,1.0017217483065062,1.005177694713526,1.008706701863776,1.0132494185881373,1.0101967716742517,1.0030617825573642,1.00032032601984,1.0000551716272295
0.47500000000000003,1.0000861724579482,1.0017209426117875,1.0051725336145003,1.0086934188982375,1.01321519400966,1.010143482806464,1.003037693422526,1.0003171291932733,1.0000545977186506
0.48,1.0000861685790394,1.001720144639843,1.0051674283693552,1.008680289536534,1.013181406774295,1.010091020719682,1.0030140419171785,1.000313997172905,1.0000540356854282
0.485,1.0000861646879005,1.0017193542502867,1.0051623778393568,1.0086673104952244,1.0131480469280807,1.0100393642547154,1.0029908156762877,1.000310927991718,1.0000534851621574
0.49,1.0000861607858529,1.0017185713063974,1.0051573809195842,1.0086544785925458,1.0131151048408966,1.009988493002764,1.002968002806381,1.0003079197618236,1.0000529457982836
0.495,1.0000861568741444,1.001717795674996,1.0051524365376174,1.0086417907443075,1.0130825711928244,1.0099383872715455,1.002945591862996,1.0003049706705114,1.0000524172573566
0.5,1.000086152953955,1.0017170272263314,1.005147543652291,1.0086292439599984,1.0130504369612185,1.0098890280532824,1.0029235718294218,1.0003020789765353,1.000051899216327
