t,S_alpha=0.95,I_alpha=0.95,max_alpha=0.95,S_alpha=0.9,I_alpha=0.9,max_alpha=0.9,S_alpha=0.8,I_alpha=0.8,max_alpha=0.8,S_alpha=0.7,I_alpha=0.7,max_alpha=0.7
58.5,0.06002318671265311,0.0015681040766358338,0.11220184543019635,0.08714166793577238,0.006035148041840095,0.12589254117941673,0.11769736927347953,0.020698129222515183,0.15848931924611132,0.1546172131461992,0.042047449097649334,0.19952623149688795
59.0,0.060288492753950505,0.0015516036683528517,0.11220184543019635,0.08740662502110647,0.005985277595062397,0.12589254117941673,0.11787652257332366,0.020532706770287668,0.15848931924611132,0.15473711736451376,0.041753521794245164,0.19952623149688795
59.5,0.06055107536858552,0.0015355820404861675,0.11220184543019635,0.08766756049174257,0.005936672171138921,0.12589254117941673,0.11805280944561294,0.020370446523558714,0.15848931924611132,0.15485550485968208,0.041464487741511014,0.19952623149688795
60.0,0.06081097641482763,0.0015200193039585734,0.11220184543019635,0.08792453780864462,0.005889284313431576,0.12589254117941673,0.11822628751367538,0.02021125363621386,0.15848931924611132,0.1549724018389718,0.04118022102703655,0.19952623149688795
60.5,0.06106823691822842,0.0015048966121044376,0.11220184543019635,0.08817761940131627,0.005843068710330617,0.12589254117941673,0.11839701318317052,0.02005503696155838,0.15848931924611132,0.15508783401651985,0.04090060003534209,0.19952623149688795
61.0,0.06132289708803929,0.0014901960962870869,0.11220184543019635,0.08842686668385215,0.005797982081116969,0.12589254117941673,0.11856504166512981,0.019901708879961368,0.15848931924611132,0.15520182661993304,0.04062550726769512,0.19952623149688795
61.5,0.06157499633356459,0.0014759008060152364,0.11220184543019635,0.08867234007102197,0.005753983068807977,0.12589254117941673,0.11873042699883582,0.019751185135751526,0.15848931924611132,0.1553144043971102,0.04035482917081581,0.19952623149688795
62.0,0.06182457328041867,0.0014619946532114965,0.11220184543019635,0.08891409899435253,0.005711032139508096,0.12589254117941673,0.11889322207451307,0.01960338468280332,0.15848931924611132,0.15542559162325453,0.04008845597396903,0.19952623149688795
62.5,0.06207166578665902,0.0014484623603150586,0.11220184543019635,0.08915220191817519,0.005669091487822106,0.12589254117941673,0.11905347865581149,0.01945822953829012,0.15848931924611132,0.15553541210803984,0.039826281533973544,0.19952623149688795
63.0,0.06231631095877155,0.0014352894119270966,0.11220184543019635,0.08938670635560839,0.005628124947921505,0.12589254117941673,0.1192112474020592,0.019315644644115865,0.15848931924611132,0.15564388920290226,0.03956820318768704,0.19952623149688795
63.5,0.06255854516748646,0.0014224620097314882,0.11220184543019635,0.08961766888445148,0.005588097909885199,0.12589254117941673,0.11936657789027029,0.01917555773556956,0.15848931924611132,0.1557510458084285,0.03931412161155451,0.19952623149688795
64.0,0.06279840406340675,0.001409967030445414,0.11220184543019635,0.08984514516296577,0.005548977240963515,0.12589254117941673,0.11951951863689124,0.019037899216776868,0.15848931924611132,0.1558569043818186,0.0390639406878329,0.19952623149688795
64.5,0.06303592259243315,0.0013977919865743888,0.11220184543019635,0.09006918994552321,0.005510731211440287,0.12589254117941673,0.11967011711927303,0.018902602042551134,0.15848931924611132,0.15596148694439863,0.038817567377127715,0.19952623149688795
65.0,0.06327113501097283,0.0013859249897645327,0.11220184543019635,0.09028985709810551,0.005473329424791436,0.12589254117941673,0.11981841979685745,0.01876960160627227,0.15848931924611132,0.15606481508916445,0.038574911596901365,0.19952623149688795
65.5,0.06350407490091896,0.0013743547165615618,0.11220184543019635,0.09050719961363786,0.00543674275186023,0.12589254117941673,0.11996447213206991,0.018638835633445577,0.15848931924611132,0.1561669099883404,0.03833588610563184,0.19952623149688795
66.0,0.06373477518439344,0.0013630703764011967,0.11220184543019635,0.09072126962714354,0.005400943268789603,0.12589254117941673,0.12010831861090805,0.018510244080615353,0.15848931924611132,0.15626779240093383,0.03810040639232139,0.19952623149688795
