k,h=0.1,h=0.05
92.0,0.9998979254740096,0.9900413860531511
93.0,0.9999076229363087,0.9905222861633691
94.0,0.9999163991800435,0.9909801747308572
95.0,0.9999243417024807,0.9914161329654948
96.0,0.9999315296947118,0.9918311931569811
97.0,0.9999380348259018,0.9922263407092728
98.0,0.9999439219615949,0.992602516108177
99.0,0.9999492498046336,0.9929606168216621
100.0,0.9999540714855517,0.9933014991344576
101.0,0.9999584350856376,0.9936259799168318
102.0,0.9999623841228957,0.9939348383295724
103.0,0.9999659579780676,0.9942288174652657
104.0,0.9999691922955104,0.994508625928261
105.0,0.9999721193291427,0.99477493935352
106.0,0.9999747682742155,0.995028401867033
107.0,0.9999771655469716,0.9952696274880172
108.0,0.9999793350605387,0.995499201475821
109.0,0.9999812984494559,0.9957176816216995
110.0,0.999983075300698,0.9959255994885818
111.0,0.9999846833320273,0.9961234615988885
112.0,0.9999861385873724,0.9963117505736955
113.0,0.999987455576125,0.996490926223136
114.0,0.9999886474406748,0.9966614265915047
115.0,0.9999897260622139,0.9968236689567451
116.0,0.9999907022071213,0.9969780507879406
117.0,0.9999915856034999,0.9971249506602471
118.0,0.9999923850722608,0.9972647291310452
119.0,0.9999931085774503,0.9973977295764699
120.0,0.9999937633472724,0.9975242789922626
121.0,0.9999943559002166,0.9976446887577928
122.0,0.9999948921608579,0.9977592553673785
123.0,0.999995377462827,0.997868261127404
124.0,0.9999958166640189,0.997971974823576
125.0,0.9999962141265231,0.9980706523564348
126.0,0.9999965738358477,0.9981645373496996
127.0,0.9999968993570058,0.9982538617291508
128.0,0.9999971939625237,0.9983388462768984
129.0,0.9999974605629263,0.9984197011582917
130.0,0.9999977018486488,0.9984966264266263
131.0,0.9999979201921402,0.9985698125024189
132.0,0.9999981178093557,0.9986394406327566
133.0,0.9999982966295605,0.9987056833269641
134.0,0.9999984584828633,0.9987687047744951
135.0,0.9999986049325126,0.9988286612407213
136.0,0.9999987374959716,0.9988857014469741
137.0,0.9999988574329994,0.9989399669298974
138.0,0.9999989660091105,0.9989915923869733
139.0,0.9999990642309635,0.9990407060026086
140.0,0.9999991531627427,0.9990874297622151
141.0,0.9999992335982716,0.9991318797479433
142.0,0.9999993064429709,0.9991741664241436
143.0,0.9999993723095812,0.9992143949054194
144.0,0.9999994319809759,0.9992526652160652
145.0,0.9999994859133216,0.999289072532885
146.0,0.9999995347982586,0.9993237074209903
