t,exact,h=1,h=0.5,h=0.25,h=0.125,h=0.0625,h=0.03125
0.3125,,,,,,0.1431757264589585,0.13483093713298305
0.312656328164082,0.12479570395725725,,,,,,
0.31315657828914456,0.12462115966547757,,,,,,
0.31365682841420706,0.12444702521547556,,,,,,
0.3141570785392696,0.12427329930794553,,,,,,
0.31465732866433216,0.12409998064884718,,,,,,
0.31515757878939465,0.12392706794937934,,,,,,
0.3156578289144572,0.12375455992595286,,,,,,
0.31615807903951976,0.12358245530016468,,,,,,
0.31665832916458225,0.12341075279877137,,,,,,
0.3171585792896448,0.12323945115366301,,,,,,
0.31765882941470736,0.1230685491018374,,,,,,
0.31815907953976985,0.12289804538537423,,,,,,
0.3186593296648324,0.12272793875140946,,,,,,
0.3191595797898949,0.12255822795210998,,,,,,
0.31965982991495745,0.12238891174464839,,,,,,
0.32016008004002,0.12221998889117763,,,,,,
0.3206603301650825,0.12205145815880628,,,,,,
0.32116058029014505,0.12188331831957362,,,,,,
0.3216608304152076,0.12171556815042496,,,,,,
0.3221610805402701,0.12154820643318737,,,,,,
0.32266133066533265,0.12138123195454477,,,,,,
0.3231615807903952,0.12121464350601457,,,,,,
0.3236618309154577,0.12104843988392282,,,,,,
0.32416208104052024,0.12088261988938084,,,,,,
0.32466233116558274,0.12071718232826104,,,,,,
0.3251625812906453,0.12055212601117363,,,,,,
0.32566283141570784,0.12038744975344308,,,,,,
0.32616308154077034,0.12022315237508484,,,,,,
0.3266633316658329,0.12005923270078185,,,,,,
0.32716358179089544,0.11989568955986195,,,,,,
0.32766383191595794,0.11973252178627473,,,,,,
0.3281640820410205,0.11956972821856858,,,,,,
0.32866433216608304,0.11940730769986854,,,,,,
0.32916458229114554,0.11924525907785333,,,,,,
0.3296648324162081,0.11908358120473347,,,,,,
0.33016508254127064,0.11892227293722862,,,,,,
0.33066533266633313,0.11876133313654572,,,,,,
0.3311655827913957,0.11860076066835708,,,,,,
0.3316658329164582,0.11844055440277847,,,,,,
0.33216608304152073,0.11828071321434735,,,,,,
0.3326663331665833,0.11812123598200165,,,,,,
0.3331665832916458,0.11796212158905785,,,,,,
0.33366683341670833,0.11780336892319017,,,,,,
0.3341670835417709,0.11764497687640911,,,,,,
0.3346673336668334,0.11748694434504033,,,,,,
0.33516758379189593,0.11732927022970412,,,,,,
0.3356678339169585,0.11717195343529405,,,,,,
0.336168084042021,0.11701499287095699,,,,,,
0.3366683341670835,0.11685838745007182,,,,,,
0.337168584292146,0.1167021360902296,,,,,,
0.3376688344172086,0.1165462377132129,,,,,,
0.3381690845422711,0.11639069124497566,,,,,,
0.3386693346673336,0.11623549561562364,,,,,,
0.3391695847923962,0.11608064975939343,,,,,,
0.3396698349174587,0.11592615261463363,,,,,,
0.3401700850425212,0.11577200312378466,,,,,,
0.34067033516758377,0.11561820023335907,,,,,,
0.3411705852926463,0.11546474289392253,,,,,,
0.3416708354177088,0.11531163006007392,,,,,,
0.34217108554277137,0.11515886069042638,,,,,,
0.34267133566783387,0.11500643374758819,,,,,,
0.3431715857928964,0.1148543481981435,,,,,,
0.34367183591795897,0.1147026030126337,,,,,,
0.34375,,,,,,,0.12370938820013519
0.34417208604302146,0.11455119716553835,,,,,,
0.344672336168084,0.11440012963525681,,,,,,
0.34517258629314657,0.11424939940408924,,,,,,
0.34567283641820906,0.11409900545821845,,,,,,
0.3461730865432716,0.1139489467876913,,,,,,
0.34667333666833416,0.11379922238640072,,,,,,
0.34717358679339666,0.11364983125206718,,,,,,
0.3476738369184592,0.11350077238622096,,,,,,
0.34817408704352176,0.1133520447941839,,,,,,
0.34867433716858426,0.11320364748505185,,,,,,
0.3491745872936468,0.11305557947167667,,,,,,
0.3496748374187093,0.11290783977064885,,,,,,
0.35017508754377186,0.11276042740227954,,,,,,
0.3506753376688344,0.11261334139058364,,,,,,
0.3511755877938969,0.11246658076326213,,,,,,
0.35167583791895946,0.11232014455168482,,,,,,
0.352176088044022,0.11217403179087329,,,,,,
0.3526763381690845,0.1120282415194839,,,,,,
0.35317658829414705,0.11188277277979077,,,,,,
0.3536768384192096,0.11173762461766872,,,,,,
0.3541770885442721,0.11159279608257715,,,,,,
0.35467733866933465,0.11144828622754255,,,,,,
0.35517758879439715,0.11130409410914253,,,,,,
0.3556778389194597,0.11116021878748908,,,,,,
0.35617808904452225,0.11101665932621228,,,,,,
0.35667833916958475,0.11087341479244409,,,,,,
0.3571785892946473,0.11073048425680188,,,,,,
0.35767883941970985,0.11058786679337264,,,,,,
0.35817908954477234,0.1104455614796969,,,,,,
0.3586793396698349,0.11030356739675246,,,,,,
0.35917958979489745,0.11016188362893921,,,,,,
0.35967983991995994,0.1100205092640627,,,,,,
0.3601800900450225,0.10987944339331904,,,,,,
0.360680340170085,0.10973868511127885,,,,,,
0.36118059029514754,0.10959823351587232,,,,,,
0.3616808404202101,0.1094580877083732,,,,,,
0.3621810905452726,0.1093182467933841,,,,,,
0.36268134067033514,0.1091787098788208,,,,,,
0.3631815907953977,0.10903947607589734,,,,,,
0.3636818409204602,0.10890054449911092,,,,,,
0.36418209104552274,0.10876191426622696,,,,,,
0.3646823411705853,0.10862358449826406,,,,,,
0.3651825912956478,0.10848555431947954,,,,,,
0.36568284142071034,0.10834782285735424,,,,,,
0.3661830915457729,0.10821038924257827,,,,,,
0.3666833416708354,0.10807325260903645,,,,,,
0.36718359179589793,0.10793641209379339,,,,,,
0.36768384192096043,0.10779986683707961,,,,,,
0.368184092046023,0.107663615982277,,,,,,
