t,S_h=5.0,I_h=5.0,R_h=5.0,S_h=2.5,I_h=2.5,R_h=2.5,S_h=1.25,I_h=1.25,R_h=1.25,S_h=0.625,I_h=0.625,R_h=0.625,S_h=0.3125,I_h=0.3125,R_h=0.3125,S_h=0.15625,I_h=0.15625,R_h=0.15625,S_h=0.078125,I_h=0.078125,R_h=0.078125,S_h=0.0390625,I_h=0.0390625,R_h=0.0390625
4.296875,,,,,,,,,,,,,,,,,,,0.32257067842247567,0.2311631080853718,0.46261014155635866,0.3222493802088973,0.22989441055777537,0.461194233404786
4.3359375,,,,,,,,,,,,,,,,,,,,,,0.3216064205999303,0.2292670694175098,0.4624289355034291
4.375,,,,,,,,,,0.32420260365916675,0.23782934096770092,0.4664216603401168,0.32265320985512436,0.23418392824476228,0.4671345010163768,0.321782331399821,0.2316613370828786,0.46638901850176934,0.32127477331873733,0.2299024860204759,0.4650812905568414,0.3209699531327941,0.22864211884710345,0.4636551629048919
4.4140625,,,,,,,,,,,,,,,,,,,,,,0.3203398819534905,0.22801955600097035,0.46487300610875854
4.453125,,,,,,,,,,,,,,,,,,,0.3200049116697227,0.2286514231621376,0.4675187351765388,0.31971611318839666,0.22739937778836194,0.46608255411376004
4.4921875,,,,,,,,,,,,,,,,,,,,,,0.319098554889345,0.2267815808821126,0.46728389445529633
4.53125,,,,,,,,,,,,,,,,0.31921866134740196,0.22915446771055725,0.47126435312717946,0.31876033388956493,0.2274098967151407,0.4699231844319827,0.31848711698066834,0.22616616172711512,0.4684771132416573
4.5703125,,,,,,,,,,,,,,,,,,,,,,0.31788171120811876,0.22555311654853621,0.46966229518899383
4.609375,,,,,,,,,,,,,,,,,,,0.3175403111162698,0.22617788006940207,0.4722953244287481,0.3172822510895841,0.22494244135977856,0.47083952365510096
4.6484375,,,,,,,,,,,,,,,,,,,,,,0.3166886518675203,0.22433413197019822,0.47200888067205465
4.6875,,,,,,,,,,,,,0.31747144776060726,0.2291990124368884,0.47686769329341727,0.31675565562649294,0.22668511460771346,0.47600954675538476,0.31634414356044394,0.22495534306778972,0.4746358194658237,0.31610083046302595,0.22372818399258537,0.47317044697776334
4.7265625,,,,,,,,,,,,,,,,,,,,,,0.31551870543149,0.22312459285041483,0.47432430204647147
4.765625,,,,,,,,,,,,,,,,,,,0.31517115896730025,0.22374225225771374,0.47694531306654586,0.314942196919744,0.22252335378487484,0.4754705241182655
4.8046875,,,,,,,,,,,,,,,,,,,,,,0.31437122662465683,0.2219244618616796,0.4766091902276199
4.84375,,,,,,,,,,,,,,,,0.31438767653881894,0.22425309117858352,0.4806298574369325,0.31402071118240227,0.2225385711275097,0.4792244289422722,0.3138057177531139,0.22132791197767507,0.47774037623102383
4.8828125,,,,,,,,,,,,,,,,,,,,,,0.31324559498331617,0.22073369886724076,0.4788641568337323
4.921875,,,,,,,,,,,,,,,,,,,0.3128921788125576,0.22134426032856336,0.48147377189437285,0.312690784427356,0.2201418171084964,0.47998060561566597
4.9609375,,,,,,,,,,,,,,,,,,,,,,0.31214121359501046,0.2195522611293192,0.48108979505650534
5.0,0.3294400820544102,0.2489890599984711,0.45584361051130917,0.32033713858751656,0.24071946412221254,0.4737033400116197,0.31585475438228144,0.23351682733352822,0.4825133791464613,0.3137430287620437,0.22808786936918457,0.4857552715796219,0.3126832739178032,0.22435663282528157,0.4860964507886321,0.3121095159029212,0.22185815542749332,0.48513022446452436,0.3117849639741152,0.2201592778840642,0.483693928659546,0.3115968113587008,0.21896502521317782,0.48219179656000677
5.0390625,,,,,,,,,,,,,,,,,,,,,,0.3110575079195809,0.21838010350478665,0.48328668047757
5.078125,,,,,,,,,,,,,,,,,,,0.31069849112167075,0.21898357938521565,0.4858854687029933,0.3105232347747013,0.21779749001559034,0.4843745161310886
5.1171875,,,,,,,,,,,,,,,,,,,,,,0.30999392468521,0.21721717862907824,0.48545537183511267
5.15625,,,,,,,,,,,,,,,,0.3099163524454352,0.21950001752210635,0.4895152965901355,0.3096322059508448,0.21781711817567445,0.48804894496354784,0.3094695116455518,0.2166391631059388,0.4865293149183485
5.1953125,,,,,,,,,,,,,,,,,,,,,,0.30894993085362,0.21606343708905665,0.4875964117445199
5.234375,,,,,,,,,,,,,,,,,,,0.3085855743693939,0.2166598455249421,0.49018489455446806,0.30843511868183504,0.21548999410835656,0.4886567277326172
5.2734375,,,,,,,,,,,,,,,,,,,,,,0.3079250126491042,0.21491882758550154,0.48971032737655923
5.3125,,,,,,,,,,,,,0.30824723521643027,0.21965583842860364,0.49485934348978744,0.3078037144844015,0.2171783464676837,0.4937894568450023,0.30755808153144076,0.2155117107913829,0.49229383942326316,0.30741955139363514,0.21434993083844678,0.4907572742642843
5.3515625,,,,,,,,,,,,,,,,,,,,,,0.30691867464657185,0.21378329708585542,0.49179763109629665
5.390625,,,,,,,,,,,,,,,,,,,0.3065492309300834,0.21437266157549964,0.4943762869736122,0.3064223232064161,0.2132189194513799,0.4928314597036866
5.4296875,,,,,,,,,,,,,,,,,,,,,,0.3059304389142127,0.21265679096781334,0.4938588210656446
5.46875,,,,,,,,,,,,,,,,0.30576744711122705,0.21489277600203288,0.49795684447539623,0.3055585435440615,0.21324264386405442,0.4964327306521613,0.3054429646294681,0.2120969045811144,0.4948797753264849
5.5078125,,,,,,,,,,,,,,,,,,,,,,0.30495984420677164,0.21153925315430952,0.49589438181219936
5.546875,,,,,,,,,,,,,,,,,,,0.30458555703454554,0.21212160216558984,0.4984636505027397,0.3044810224731013,0.21098382947127703,0.49690269904655804
