t,S_alpha=0.95_S0=0.95,I_alpha=0.95_S0=0.95,max_alpha=0.95_S0=0.95,S_alpha=0.95_S0=0.9,I_alpha=0.95_S0=0.9,max_alpha=0.95_S0=0.9,S_alpha=0.95_S0=0.8,I_alpha=0.95_S0=0.8,max_alpha=0.95_S0=0.8,S_alpha=0.95_S0=0.7,I_alpha=0.95_S0=0.7,max_alpha=0.95_S0=0.7,S_alpha=0.9_S0=0.95,I_alpha=0.9_S0=0.95,max_alpha=0.9_S0=0.95,S_alpha=0.9_S0=0.9,I_alpha=0.9_S0=0.9,max_alpha=0.9_S0=0.9,S_alpha=0.9_S0=0.8,I_alpha=0.9_S0=0.8,max_alpha=0.9_S0=0.8,S_alpha=0.9_S0=0.7,I_alpha=0.9_S0=0.7,max_alpha=0.9_S0=0.7,S_alpha=0.8_S0=0.95,I_alpha=0.8_S0=0.95,max_alpha=0.8_S0=0.95,S_alpha=0.8_S0=0.9,I_alpha=0.8_S0=0.9,max_alpha=0.8_S0=0.9,S_alpha=0.8_S0=0.8,I_alpha=0.8_S0=0.8,max_alpha=0.8_S0=0.8,S_alpha=0.8_S0=0.7,I_alpha=0.8_S0=0.7,max_alpha=0.8_S0=0.7,S_alpha=0.7_S0=0.95,I_alpha=0.7_S0=0.95,max_alpha=0.7_S0=0.95,S_alpha=0.7_S0=0.9,I_alpha=0.7_S0=0.9,max_alpha=0.7_S0=0.9,S_alpha=0.7_S0=0.8,I_alpha=0.7_S0=0.8,max_alpha=0.7_S0=0.8,S_alpha=0.7_S0=0.7,I_alpha=0.7_S0=0.7,max_alpha=0.7_S0=0.7
234.0,0.10108928394350397,0.0006090916815566565,0.11220184543019635,0.09201919322210085,0.0006129958176859648,0.11220184543019635,0.07701470694497937,0.0006519809341929202,0.11220184543019635,0.06430942614782906,0.0006958550934620825,0.11220184543019635,0.11367040795177236,0.001997598353069615,0.12589254117941673,0.10661320504310698,0.0020032515014667177,0.12589254117941673,0.09250161381364772,0.0020220170795343865,0.12589254117941673,0.07892920221349152,0.002056383060399114,0.12589254117941673,0.14231419747174837,0.006295069378233241,0.15848931924611132,0.1333804917521408,0.006362623526908318,0.15848931924611132,0.11610560281681781,0.006506781687811881,0.15848931924611132,0.0995897268608869,0.006652601121736515,0.15848931924611132,0.17903950966036317,0.014351485320510884,0.19952623149688795,0.16754978622371372,0.01455466027471122,0.19952623149688795,0.1455155893007334,0.014969018381715006,0.19952623149688795,0.12461024184609633,0.015371148139304177,0.19952623149688795
234.5,0.10111309153839383,0.000608962712250025,0.11220184543019635,0.0920448088691289,0.0006123584716529359,0.11220184543019635,0.07703830944008573,0.0006509572460704916,0.11220184543019635,0.06432969037380144,0.0006946214092425817,0.11220184543019635,0.1136795881441741,0.0019935823851276123,0.12589254117941673,0.10662268955703307,0.001999431335641567,0.12589254117941673,0.09251251603331999,0.0020182363838082583,0.12589254117941673,0.07894029490989375,0.002052505429137653,0.12589254117941673,0.1423262959380905,0.006284059562154685,0.15848931924611132,0.1333921585673972,0.006351501300553761,0.15848931924611132,0.1161163750763706,0.006495385063454477,0.15848931924611132,0.09959942855284559,0.006640912863064501,0.15848931924611132,0.1790520527707776,0.01432910902324453,0.19952623149688795,0.1675615054528719,0.014531998846867,0.19952623149688795,0.14552576741093648,0.014945721406293013,0.19952623149688795,0.12461894671549029,0.015347220473139078,0.19952623149688795
235.0,0.10113670497126524,0.0006088323492318611,0.11220184543019635,0.09207028861304074,0.0006117223295079835,0.11220184543019635,0.07706181735903224,0.0006499371000977949,0.11220184543019635,0.06434988164442675,0.0006933924605751632,0.11220184543019635,0.11368875481846365,0.0019895840821178555,0.12589254117941673,0.10663214009861492,0.0019956262687107792,0.12589254117941673,0.09252337123728678,0.0020144704097138652,0.12589254117941673,0.07895134133881937,0.0020486432099893963,0.12589254117941673,0.14233834686777544,0.006273093063812592,0.15848931924611132,0.13340377965101605,0.0063404227490718645,0.15848931924611132,0.11612710540012151,0.006484033268449337,0.15848931924611132,0.09960909298346712,0.006629270723487645,0.15848931924611132,0.17906454958305576,0.014306817070592455,0.19952623149688795,0.16757318190452955,0.014509422692106979,0.19952623149688795,0.1455359090761632,0.014922511994838825,0.19952623149688795,0.12462762093260309,0.01532338269037276,0.19952623149688795
235.5,0.10116012543421722,0.000608700571973323,0.11220184543019635,0.09209563327418221,0.0006110873807801079,0.11220184543019635,0.07708523123448016,0.0006489204755157169,0.11220184543019635,0.06437000035675405,0.0006921682187304577,0.11220184543019635,0.11369790783303177,0.0019856033553332674,0.12589254117941673,0.1066415568658649,0.001991836219892963,0.12589254117941673,0.09253417974277559,0.002010719071625965,0.12589254117941673,0.078962341795362,0.002044796309609223,0.12589254117941673,0.1423503505444197,0.006262169618564339,0.15848931924611132,0.13341535528043952,0.0063293876064322374,0.15848931924611132,0.11613779404272406,0.0064727260290410845,0.15848931924611132,0.09961872037614836,0.0066176744203926535,0.15848931924611132,0.17907700036793384,0.014284608959164516,0.19952623149688795,0.16758481582614665,0.014486931302453848,0.19952623149688795,0.14554601450341376,0.014899389626594109,0.19952623149688795,0.12463626466891231,0.015299634257047152,0.19952623149688795
236.0,0.10118335411492482,0.0006085673602390045,0.11220184543019635,0.09212084366759402,0.0006104536151491081,0.11220184543019635,0.07710855159522216,0.0006479073517435849,0.11220184543019635,0.06439004690492706,0.0006909486552200564,0.11220184543019635,0.11370704704651205,0.001981640116065289,0.12589254117941673,0.10665094005439751,0.001988061108817576,0.12589254117941673,0.09254494186407163,0.002006982284571484,0.12589254117941673,0.07897329657209087,0.0020409646354120833,0.12589254117941673,0.14236230724940216,0.006251288963938097,0.15848931924611132,0.13342688573082498,0.006318395608790862,0.15848931924611132,0.1161484412567268,0.00646146307373817,0.15848931924611132,0.09962831095246631,0.0066061236735132055,0.15848931924611132,0.1790894053939819,0.014262484189677634,0.19952623149688795,0.167596407463226,0.014464524174066512,0.19952623149688795,0.14555608389808153,0.014876353785031703,0.19952623149688795,0.12464487809458485,0.01527597464353573,0.19952623149688795
236.5,0.10120639219666007,0.0006084326940863277,0.11220184543019635,0.09214592060305028,0.0006098210224436735,0.11220184543019635,0.0771317789662178,0.0006468977083771577,0.11220184543019635,0.06441002168020972,0.0006897337417939207,0.11220184543019635,0.11371617231784688,0.001977694275615367,0.12589254117941673,0.10666028985747661,0.0019843008555245245,0.12589254117941673,0.09255565791255152,0.0020032599642234206,0.12589254117941673,0.07898420595907611,0.0020371480955651638,0.12589254117941673,0.1423742172618875,0.006240450839610832,0.15848931924611132,0.1334383712750698,0.006307446494467626,0.15848931924611132,0.11615904729259426,0.006450244133289295,0.15848931924611132,0.09963786493219619,0.006594618204905385,0.15848931924611132,0.17910176492762425,0.014240442266913367,0.19952623149688795,0.16760795705933257,0.01444220080719743,0.19952623149688795,0.14556611746396844,0.01485340395781209,0.19952623149688795,0.12465346137848853,0.015252403324498929,0.19952623149688795
237.0,0.10122924085830971,0.0006082965538649107,0.11220184543019635,0.09217086488509792,0.0006091895926395079,0.11220184543019635,0.07715491386862822,0.0006458915251866459,0.11220184543019635,0.06442992507101356,0.0006885234504378336,0.11220184543019635,0.1137252835063495,0.001973765745306216,0.12589254117941673,0.1066696064660611,0.001980555380463801,0.12589254117941673,0.09256632819671824,0.0019995520268948144,0.12589254117941673,0.07899507024391798,0.0020333465989802184,0.12589254117941673,0.14238608085884857,0.006229654987386683,0.15848931924611132,0.13344981218383647,0.0062965400039240865,0.15848931924611132,0.11616961239873014,0.006439068940660095,0.15848931924611132,0.09964738253333083,0.006583157738923364,0.15848931924611132,0.17911407923316267,0.014218482699675876,0.19952623149688795,0.1676194648561134,0.014419960706150429,0.19952623149688795,0.14557611540330265,0.014830539636740348,0.19952623149688795,0.12466201468820488,0.015228919778840338,0.19952623149688795
237.5,0.10125190127439454,0.0006081589202159577,0.11220184543019635,0.09219567731309683,0.0006085593158574705,0.11220184543019635,0.07717795681984876,0.0006448887821147585,0.11220184543019635,0.0644497574629234,0.0006873177533708738,0.11220184543019635,0.11373438047176647,0.001969854436492877,0.12589254117941673,0.10667889006885053,0.00197682460449504,0.12589254117941673,0.09257695302223458,0.0019958583895327824,0.12589254117941673,0.079005889711771,0.002029560055305968,0.12589254117941673,0.1423978983150896,0.006218901151175495,0.15848931924611132,0.13346120872557343,0.006285675879741559,0.15848931924611132,0.11618013682149746,0.006427937231010138,0.15848931924611132,0.09965686397209797,0.0065717420021954905,0.15848931924611132,0.1791263485727967,0.014196605000750557,0.19952623149688795,0.16763093109331684,0.014397803379239063,0.19952623149688795,0.14558607791675224,0.014807760317723729,0.19952623149688795,0.12467053819004176,0.01520552348966313,0.19952623149688795
238.0,0.10127437461508662,0.0006080197740716303,0.11220184543019635,0.09222035868125686,0.0006079301823617445,0.11220184543019635,0.07720090833354407,0.000643889459274775,0.11220184543019635,0.06446951923872386,0.0006861166230429348,0.11220184543019635,0.11374346307433535,0.0019659602605734978,0.12589254117941673,0.10668814085232822,0.0019731084488870472,0.12589254117941673,0.09258753269195634,0.0019921789697126,0.12589254117941673,0.07901666464537117,0.002025788374920578,0.12589254117941673,0.14240966990326606,0.006208189076971688,0.15848931924611132,0.1334725611665419,0.006274853866599458,0.15848931924611132,0.11619062080524123,0.006416848741670199,0.15848931924611132,0.09966630946297944,0.0065603707236005495,0.15848931924611132,0.1791385732066465,0.014174808686863138,0.19952623149688795,0.16764235600880978,0.014375728338745541,0.19952623149688795,0.14559600520343993,0.014785065500729675,0.19952623149688795,0.12467903204904579,0.015182213944227403,0.19952623149688795
238.5,0.10129666204622656,0.0006078790966544278,0.11220184543019635,0.09224490977867687,0.0006073021825580261,0.11220184543019635,0.07722376891968075,0.0006428935369486453,0.11220184543019635,0.0644892107784248,0.0006849200321322627,0.11220184543019635,0.11375253117484266,0.0019620831289999404,0.12589254117941673,0.10669735900080483,0.00196940683531731,0.12589254117941673,0.092598067505965,0.001988513685631893,0.12589254117941673,0.07902739532506105,0.0020220314689242598,0.12589254117941673,0.14242139589390754,0.006197518512833335,0.15848931924611132,0.13348386977083548,0.006264073711253922,0.15848931924611132,0.11620106459230867,0.0064058032121198415,0.15848931924611132,0.09967571921872796,0.006549043634244431,0.15848931924611132,0.17915075339277256,0.014153093278639287,0.19952623149688795,0.16765373983859894,0.014353735100880031,0.19952623149688795,0.14560589746096023,0.014762454689744313,0.19952623149688795,0.12468749642901368,0.015158990633907693,0.19952623149688795
239.0,0.10131876472934075,0.0006077368694765629,0.11220184543019635,0.09226933138938266,0.0006066753069917353,0.11220184543019635,0.07724653908455995,0.0006419009955851112,0.11220184543019635,0.06450883245928637,0.0006837279535430382,0.11220184543019635,0.11376158463467875,0.001958222953288143,0.12589254117941673,0.10670654469646089,0.0019657196858714533,0.12589254117941673,0.09260855776159989,0.0019848624561048505,0.12589254117941673,0.0790380820288154,0.002018289249131958,0.12589254117941673,0.14243307655544035,0.006186889208861478,0.15848931924611132,0.13349513480040445,0.006253335162516597,0.15848931924611132,0.11621146842306927,0.006394800383965226,0.15848931924611132,0.09968509345038551,0.006537760467437015,0.15848931924611132,0.17916288938719602,0.014131458300564568,0.19952623149688795,0.16766508281684697,0.014331823185740689,0.19952623149688795,0.1456157548853925,0.014739927392731726,0.19952623149688795,0.12469593149250506,0.015135853054151214,0.19952623149688795
239.5,0.1013406838216575,0.0006075930743393344,0.11220184543019635,0.092293624292364,0.0006060495463462509,0.11220184543019635,0.07726921933085053,0.000640911815797863,0.11220184543019635,0.06452838465584443,0.0006825403604029833,0.11220184543019635,0.11377062331589162,0.0019543796450282756,0.12589254117941673,0.10671569811938757,0.001962046923042697,0.12589254117941673,0.09261900375349057,0.001981225200556533,0.12589254117941673,0.0790487250322657,0.002014561628066092,0.12589254117941673,0.142444712154206,0.006176300917179701,0.15848931924611132,0.13350635651507753,0.00624263797123382,0.15848931924611132,0.11622183253593692,0.006383840000917262,0.15848931924611132,0.09969443236730006,0.0065265209586694364,0.15848931924611132,0.1791749814439205,0.014109903280945246,0.19952623149688795,0.16767638517589278,0.014309992117273932,0.19952623149688795,0.14562557767131576,0.014717483121593279,0.19952623149688795,0.12470433740085393,0.015112800704436598,0.19952623149688795
240.0,0.10136242047612276,0.0006074476933324922,0.11220184543019635,0.09231778926161167,0.000605424891441163,0.11220184543019635,0.07729181015762104,0.0006399259783637083,0.11220184543019635,0.06454786773993514,0.0006813572260609964,0.11220184543019635,0.11377964708123783,0.0019505531158946756,0.12589254117941673,0.10672481944762768,0.0019583884697312484,0.12589254117941673,0.09262940577358751,0.0019776018390172154,0.12589254117941673,0.07905932460872576,0.0020108485189494377,0.12589254117941673,0.1424563029544836,0.00616575339191393,0.15848931924611132,0.13351753517258397,0.006231981890266012,0.15848931924611132,0.11623215716738847,0.006372921808769972,0.15848931924611132,0.09970373617714334,0.006515324845591516,0.15848931924611132,0.17918702981495077,0.014088427751869227,0.19952623149688795,0.1676876471462671,0.014288241423235395,0.19952623149688795,0.14563536601182492,0.014695121392127988,0.19952623149688795,0.12471271431418024,0.015089833088233069,0.19952623149688795
240.5,0.10138397584141594,0.000607300708833603,0.11220184543019635,0.09234182706615464,0.0006048013332305566,0.11220184543019635,0.07731431206037133,0.0006389434642207749,0.11220184543019635,0.06456728208072018,0.0006801785240848266,0.11220184543019635,0.11378865579423236,0.0019467432776555662,0.12589254117941673,0.10673390885721462,0.001954744249243677,0.12589254117941673,0.09263976411119364,0.0019739922921168133,0.12589254117941673,0.07906988102921506,0.0020071498356980543,0.12589254117941673,0.14246784921850975,0.006155246389172505,0.15848931924611132,0.1335286710285762,0.006221366674467231,0.15848931924611132,0.11624244255198501,0.006362045555379195,0.15848931924611132,0.09971300508592713,0.006504171867989588,0.15848931924611132,0.17919903475031415,0.014067031249167672,0.19952623149688795,0.167698868956713,0.01426657063515126,0.19952623149688795,0.1456451200985425,0.014672841723992875,0.19952623149688795,0.12472106239140154,0.015066949712960121,0.19952623149688795
241.0,0.10140535106196427,0.000607152103507415,0.11220184543019635,0.09236573847009577,0.0006041788628012999,0.11220184543019635,0.0773367255310646,0.0006379642544667355,0.11220184543019635,0.06458662804471015,0.0006790042282587741,0.11220184543019635,0.11379764931919667,0.001942950042182575,0.12589254117941673,0.10674296652221217,0.0019511141852922628,0.12589254117941673,0.09265007905299491,0.0019703964810793943,0.12589254117941673,0.0790803945624835,0.0020034654929143273,0.12589254117941673,0.14247935120649988,0.0061447796670264275,0.15848931924611132,0.13353976433665055,0.006210792080665088,0.15848931924611132,0.11625268892239062,0.006351210990641467,0.15848931924611132,0.09972223929802092,0.006493061767764481,0.15848931924611132,0.17921099649807926,0.014045713312376982,0.19952623149688795,0.16771005083420126,0.014244979288280125,0.19952623149688795,0.14565484012163496,0.014650643640664115,0.19952623149688795,0.12472938179024463,0.015044150089947817,0.19952623149688795
241.5,0.10142654727795777,0.0006070018603052087,0.11220184543019635,0.0923895242326486,0.0006035574713713742,0.11220184543019635,0.07735905105815796,0.0006369883303570528,0.11220184543019635,0.06460590599578879,0.0006778343125814093,0.11220184543019635,0.11380662752130531,0.0019391733214600272,0.12589254117941673,0.1067519926147509,0.0019474982019943052,0.12589254117941673,0.09266035088308976,0.0019668143277176663,0.12589254117941673,0.07909086547503508,0.0019997954058800682,0.12589254117941673,0.14249080917666607,0.006134352985489877,0.15848931924611132,0.13355081534836702,0.006200257867640865,0.15848931924611132,0.11626289650939209,0.006340417866473188,0.15848931924611132,0.09973143901616777,0.006481994288909922,0.15848931924611132,0.179222915304377,0.014024473484701375,0.19952623149688795,0.16772119300394972,0.014223466921575287,0.19952623149688795,0.14566452626982648,0.0146285266693985,0.19952623149688795,0.12473767266725647,0.015021433734397342,0.19952623149688795
242.0,0.10144756562536297,0.0006068499624641555,0.11220184543019635,0.09241318510817198,0.0006029371502882037,0.11220184543019635,0.07738128912663376,0.00063601567330325,0.11220184543019635,0.06462511629523707,0.0006766687512633429,0.11220184543019635,0.11381559026662977,0.0019354130275940492,0.12589254117941673,0.10676098730506729,0.0019438962238714135,0.12589254117941673,0.0926705798830195,0.001963245754427628,0.12589254117941673,0.07910129403115106,0.0019961394905497224,0.12589254117941673,0.1425022233852393,0.006123966106500967,0.15848931924611132,0.1335618243132725,0.006189763796109842,0.15848931924611132,0.1162730655419183,0.006329665936790126,0.15848931924611132,0.09974060444150074,0.006470969177491069,0.15848931924611132,0.1792347914134164,0.014003311312975754,0.19952623149688795,0.16773229568943823,0.014202033077647514,0.19952623149688795,0.14567417873041089,0.01460649034119553,0.19952623149688795,0.12474593517781557,0.014998800165342312,0.19952623149688795
242.5,0.10146840723593635,0.0006066963935066529,0.11220184543019635,0.09243672184620651,0.00060231789102702,0.11220184543019635,0.07740344021803042,0.0006350462648712106,0.11220184543019635,0.06464425930175624,0.000675507518725005,0.11220184543019635,0.11382453742218192,0.0019316690728214607,0.12589254117941673,0.10676995076153858,0.0019403081758487591,0.12589254117941673,0.09268076633179702,0.001959690684183221,0.12589254117941673,0.07911168049291335,0.0019924976635436564,0.12589254117941673,0.14251359408648615,0.006113618793902646,0.15848931924611132,0.13357279147892015,0.0061793096287018805,0.15848931924611132,0.11628319624705949,0.006318954957487049,0.15848931924611132,0.09974973577355913,0.006459986181623381,0.15848931924611132,0.17924662506750752,0.013982226347629237,0.19952623149688795,0.1677433591124267,0.014180677302728224,0.19952623149688795,0.14568379768926748,0.014584534190759831,0.19952623149688795,0.1247541694761432,0.01497624890561028,0.19952623149688795
