k,h=0.1,h=0.05
141.0,0.9999974067406249,0.9987969878511265
142.0,0.9999976114711395,0.9988502068481919
143.0,0.9999978389495868,0.9989062329723857
144.0,0.9999980095584906,0.9989546242287287
145.0,0.9999981991240071,0.9990055674587575
146.0,0.9999983412981919,0.9990495680662519
147.0,0.9999984992695555,0.9990958886827145
148.0,0.999998617748111,0.9991358963082524
149.0,0.9999987493909835,0.9991780130599499
150.0,0.9999988481231605,0.999214389475779
151.0,0.9999989578256024,0.9992526833013575
152.0,0.9999990401024494,0.9992857576037679
153.0,0.9999991315211845,0.9993205750243587
154.0,0.9999992000852466,0.999350646567448
155.0,0.9999992762675489,0.9993823027786062
156.0,0.9999993334042834,0.9994096438476987
157.0,0.9999993968895513,0.9994384255366433
158.0,0.9999994445035078,0.9994632837839333
159.0,0.9999994974079089,0.9994894516959585
160.0,0.9999995370862137,0.9995120523590837
161.0,0.9999995811732224,0.9995358436350309
162.0,0.9999996142384817,0.9995563915575585
163.0,0.9999996509776611,0.9995780218624065
164.0,0.9999996785320474,0.9995967033336163
165.0,0.999999709148034,0.9996163687945532
166.0,0.9999997321100252,0.999633353224431
167.0,0.99999975762335,0.9996512321952108
168.0,0.9999997767583445,0.9996666736392068
169.0,0.9999997980194503,0.9996829283061552
170.0,0.9999998139652803,0.9996969668530118
171.0,0.9999998316828694,0.9997117446967232
172.0,0.9999998449710622,0.9997245077315299
173.0,0.9999998597357207,0.9997379428570792
174.0,0.9999998708092153,0.9997495462106561
175.0,0.9999998831130978,0.9997617605580403
176.0,0.9999998923410104,0.9997723095527843
177.0,0.9999999025942461,0.9997834139982796
178.0,0.9999999102841738,0.9997930043997203
179.0,0.9999999188285371,0.9998030997579054
180.0,0.9999999252368105,0.9998118186404081
181.0,0.9999999323571134,0.9998209965757486
182.0,0.9999999376973412,0.9998289231100546
183.0,0.999999943630927,0.9998372669661562
184.0,0.9999999480811171,0.9998444731357721
185.0,0.999999953025772,0.9998520586896931
186.0,0.999999956734264,0.9998586099425244
187.0,0.9999999608548098,0.9998655060908843
188.0,0.9999999639452196,0.9998714619319307
189.0,0.999999967379008,0.99987773131495
190.0,0.9999999699543496,0.9998831458453726
191.0,0.9999999728158397,0.9998888454144339
