t,alpha=0.05,alpha=0.1,alpha=0.15,alpha=0.2,alpha=0.25,alpha=0.3,alpha=0.35,alpha=0.4,alpha=0.45,alpha=0.5,alpha=0.55,alpha=0.6,alpha=0.65,alpha=0.7,alpha=0.75,alpha=0.8,alpha=0.85,alpha=0.9,alpha=0.95
0.21,1.0006867567183533,1.0015755046254413,1.0026832579887015,1.0040185705331677,1.0055776530180096,1.0073399483017722,1.009263371497425,1.0112795883438803,1.0132899330242002,1.0151628730355549,1.0167343313367487,1.0178126949904331,1.018190996819105,1.0176695753525165,1.0160935219434808,1.0134104345705657,1.0097554345606292,1.0055720784428543,1.0017797162564692
0.215,1.0006716516940848,1.0015426966309637,1.0026305250850083,1.0039443032425877,1.0054811084483186,1.0072215033484986,1.0091247489511967,1.0111240218101818,1.0131222292659785,1.0149893251917914,1.0165624357056249,1.0176506308969595,1.0180468479126892,1.0175503073703724,1.0160037941715236,1.0133514196527373,1.0097239660435504,1.005560652220364,1.0017781584320384
0.22,1.0006572131724631,1.0015112982645826,1.0025799966822733,1.0038730542715453,1.0053883749081804,1.0071075952388855,1.0089912731466049,1.0109740473041526,1.0129603544328205,1.0148216013944467,1.016396100456621,1.0174936100006524,1.0179070039220912,1.017434447100337,1.015916508528435,1.0132939243844297,1.0096932543214672,1.0055494740837163,1.0017766258069438
0.225,1.0006433976480356,1.0014812191300275,1.0025315339479084,1.0038046370249318,1.0052992212255016,1.0069979540801448,1.0088626439751018,1.010829345407622,1.0128039825969088,1.0146593831155302,1.0162350284289654,1.0173413692614401,1.0177712460705253,1.0173218261920276,1.0158315481541447,1.0132378787813692,1.0096632663153737,1.0055385341760041,1.001775117768605
0.23,1.0006301653353904,1.0014523764580137,1.0024850096046176,1.0037388802240046,1.0052134349360435,1.006892331505565,1.0087385849095416,1.0106896214182637,1.012652812652253,1.0145023756875124,1.0160789443390803,1.0171936646513051,1.0176393710825846,1.0172122879625367,1.0157488040812142,1.0131832174334854,1.0096339710044917,1.0055278231907716,1.0017736337102081
0.23500000000000001,1.0006174797789904,1.0014246943148706,1.002440306744495,1.003675626351969,1.00513082040637,1.006790498539812,1.0086188406935919,1.010554602957677,1.012506565943185,1.0143503060540786,1.0159275927473128,1.0170502694139443,1.0175111897887188,1.0171056863657917,1.0156681745534404,1.0131298791219754,1.0096053392624793,1.005517332333749,1.0017721730331595
0.24,1.0006053075111718,1.0013981029079861,1.002397317786882,1.003614730286225,1.0050511971800535,1.006692243715642,1.0085031753005231,1.010424037855427,1.0123649841634976,1.0142029207746335,1.0157807362512805,1.016910972515852,1.0173865258809691,1.0170018850717226,1.015589564415515,1.0130778064750998,1.0095773437093214,1.005507053287631,1.0017707351489726
0.245,1.0005936177515067,1.0013725379745013,1.0023559435599858,1.0035560580915337,1.0049743985165955,1.0065973714079273,1.008391370125174,1.010297692272278,1.0122278274904977,1.014059984249431,1.015638153876551,1.0167755772643867,1.017265214800899,1.016900756641625,1.0155128845651131,1.0130269456581622,1.009549958577165,1.0054969781796521,1.001769319480704
0.25,1.000582382141803,1.0013479402418097,1.002316092489397,1.0034994859523412,1.0049002700972223,1.0065057003561024,1.0082832223783504,1.010175349031396,1.0120948729236108,1.0139212771370614,1.01549963963966,1.0166439000719116,1.0171471027433925,1.0168021817880177,1.015438051459975,1.0129772460937096,1.0095231595885898,1.0054870995517167,1.0017679254640144
0.255,1.0005715745118995,1.0013242549502015,1.0022776798792155,1.0034448992258291,1.0048286688756247,1.0064170623504816,1.0081785436575186,1.0100568061308812,1.011965912801578,1.0137865949401512,1.0153650012620492,1.0165157693480704,1.0170320457622741,1.0167060487089112,1.0153649866735401,1.0129286602085297,1.0094969238459597,1.0054774103328696,1.0017665525479345
