t,S_alpha=0.9,I_alpha=0.9,R_alpha=0.9,S_alpha=0.8,I_alpha=0.8,R_alpha=0.8,S_alpha=0.7,I_alpha=0.7,R_alpha=0.7,S_alpha=0.6,I_alpha=0.6,R_alpha=0.6
11.5,0.16001106544287474,0.10160211288928943,0.744242097191064,0.2059657321850171,0.11676597910167139,0.692237302966967,0.24702638917330969,0.129850921524619,0.6440768394235955,0.2835365837331009,0.14097043717475496,0.5979390098683934
12.0,0.15770305028205342,0.09572542937351104,0.7524076348620083,0.20403026814429517,0.11196928781913426,0.698856902732821,0.24537054140141604,0.12598454718313717,0.6493525710055147,0.28213105163845664,0.13790869478840845,0.6020470487864877
12.5,0.1556453341467218,0.09023289036491083,0.7599393494919773,0.20228506620966466,0.10744947973726651,0.705014194855834,0.24385407067038234,0.12232074543861451,0.6542983954195642,0.2808252089737616,0.1349959899933798,0.6059256745051498
13.0,0.15381043649690093,0.08510172417004175,0.76688746059109,0.20070996726243745,0.10318904247771686,0.710746487731108,0.24246273485415606,0.1188457796824412,0.6589412923910477,0.2796093124603938,0.13222155309269834,0.6095936888481099
13.5,0.15217427380858897,0.08030966718126833,0.7732982843904683,0.199287297084861,0.09917141011349176,0.7160876961290453,0.24118406218973854,0.11554698041092909,0.6633055184361096,0.27847483545924123,0.12957562977651188,0.6130678683595846
14.0,0.150715687196115,0.07583517931543045,0.7792144907889674,0.1980015128592859,0.0953809730316896,0.7210686799459863,0.2400070907689365,0.11241266133338494,0.6674129348821473,0.2774142836883988,0.1270493642230651,0.6163632343258052
14.5,0.1494160422441958,0.07165759132706273,0.7846753561674003,0.1968389066001374,0.09180306777659228,0.7257175467837764,0.23892215226717353,0.1094320401855803,0.6712832897323848,0.27642104359626835,0.12463469796021609,0.6194932799428036
15.0,0.1482588892732436,0.06775719946026255,0.789717008401684,0.19578735533365033,0.08842395290593974,0.7300599223840702,0.2379206914193385,0.1065951647177256,0.6749344608525271,0.2754892567961697,0.12232428207224859,0.6224701625026753
15.5,0.14722967424289693,0.06411531973449658,0.7943726615872956,0.19483610983253377,0.08523077538032013,0.7341191924871353,0.2369951145640393,0.1038928440131519,0.6783826665771435,0.2746137154559699,0.12011140074777678,0.6253048668319809
16.0,0.14631549215100823,0.060714311602513865,0.7986728388879727,0.19397561528398014,0.08221153085655543,0.7379167192815588,0.2361386619649725,0.10131658508912615,0.6816426487408402,0.27378977465454674,0.11798990449940923,0.6280073449573376
16.5,0.14550487615812882,0.05753757866355099,0.8026455826009034,0.1931973585149761,0.07935502038340797,0.7414720352534603,0.2353452996891942,0.09885853460120288,0.6847278322672797,0.2730132785656585,0.11595415165963413,0.6305866359978325
17.0,0.14478761680542956,0.05456955246924575,0.8063166510365648,0.19249373739103356,0.076650805335745,0.7448030169261549,0.23460962765519625,0.09651142539398556,0.6876504647479056,0.27228049797961945,0.1139989569820503,0.6330509695215505
17.5,0.14415460663590818,0.05179566414552397,0.8097097021822994,0.19185794879844645,0.07408916192133357,0.7479260406991134,0.2339268011162561,0.09426852759789249,0.6904217388745078,0.27158807717483574,0.11211954636209526,0.6354078550031307
18.0,0.14359770630791896,0.04920230750714564,0.812846464385221,0.1912838922584203,0.07166103621461083,0.7508561227447332,0.2332924633590623,0.09212360395212445,0.6930519001272409,0.2709329885414743,0.11031151684435529,0.6376641595429636
18.5,0.1431096289346352,0.046776796510184654,0.8157468944763014,0.19076608673666878,0.06935800038511493,0.7536070446994019,0.23270268780582276,0.09007086903056138,0.695550341740697,0.2703124936653104,0.10857080121040236,0.6398261756282331
19.0,0.14268383991652708,0.04450731922885398,0.8184293238824534,0.19029959862975523,0.06717221057269504,0.7561914666885757,0.23215392803382842,0.08810495205421766,0.6979256886584115,0.26972410982101236,0.10689363654670554,0.6418996804102571
19.5,0.14231446997583455,0.04238289002229287,0.8209105933520915,0.1898799792494043,0.06509636670030888,0.7586210290513415,0.231642974487863,0.08622086298728705,0.7001858719276859,0.2691655810156359,0.10527653628037112,0.6438899877253506
20.0,0.1419962394684863,0.04039330114640385,0.8232061769635185,0.18950321040376328,0.063123674395294,0.7609064439756961,0.2311669168717288,0.08441396163103279,0.7023381947716443,0.2686348528760924,0.10371626524439236,0.6458019938854143
20.5,0.1417243923532673,0.03852907474321497,0.825330296103657,0.18916565690238277,0.061247809101625694,0.7630575781193363,0.2307231113761377,0.08267992944898023,0.7043893913958504,0.2681300507972521,0.1022098173962461,0.6476402181001357
21.0,0.1414946384512005,0.03678141588761763,0.8272960241040385,0.18886402499918134,0.05946288240131991,0.7650835271700622,0.23030915203948404,0.08101474387680967,0.7063456794362226,0.26764946086663216,0.10075439586610262,0.649408838257698
21.5,0.1413031028390758,0.035142167174339725,0.8291153822069514,0.18859532594252446,0.057763410517023384,0.7669926831931871,0.22992284565199284,0.07941465489019142,0.7082128068281881,0.267191513162225,0.09934739505527222,0.6511117226794617
22.0,0.1411462813971891,0.03360376517517225,0.8307994275113586,0.188356843929912,0.056144284935542195,0.7687927955189733,0.22956218970739783,0.07787616362302105,0.709996093769918,0.2667547670857991,0.09798638454315364,0.6527524583716992
22.5,0.14102100167869705,0.03215919897860805,0.8323583335187026,0.18814610787150327,0.05460074507019069,0.770491025839673,0.22922535298360294,0.07639600284677389,0.7117004703616508,0.26633789844792305,0.09666909459298392,0.6543343762205325
23.0,0.1409243883915122,0.03080197093385477,0.8338014638654081,0.18796086645576038,0.05312835286580228,0.7720939981119206,0.2289106583978235,0.0749711191388147,0.7133305104258989,0.26593968806536866,0.09539340307402751,0.6558605735119085
23.5,0.14085383288742628,0.029526059652815195,0.8351374397935105,0.187799066085008,0.051722969242035954,0.7736078437949291,0.2286165678349674,0.07359865658338628,0.7148904619474382,0.26555901166825485,0.09415732364123733,0.6573339341044514
24.0,0.1408069661405125,0.028325885272440093,0.8363742018746808,0.18765883131125974,0.050380732266714176,0.7750382428971233,0.22834166869246642,0.0722759418636345,0.7163842745156218,0.265194830944792,0.09295899503349354,0.6587571465375662
24.5,0.1407816347705731,0.027196276942150696,0.8375190664669308,0.18753844745531922,0.0490980369501722,0.7763904612526681,0.22808466192201507,0.07100047061643328,0.7178156241031772,0.26484618557688255,0.0917966713687898,0.6601327203187142
25.0,0.14077587972973568,0.026132442473859912,0.8385787773481234,0.18743634513662596,0.047871516553099805,0.7776693844039818,0.2278443513799559,0.06976989493399632,0.7191879354740658,0.26451218614111055,0.09066871332962702,0.6614630006011735
25.5,0.14078791732314008,0.02512994007315565,0.8395595529365758,0.18735108647895288,0.04669802530343822,0.7788795484261368,0.22761963432444393,0.0685820119073735,0.7205044024770944,0.2641920077674854,0.08957358014474136,0.6627501814358441
26.0,0.14081612227953877,0.024184652057594024,0.8404671294767743,0.187281352789015,0.045574622422044485,0.7800251679933831,0.22740949291982948,0.06743475311700078,0.7217680064509463,0.263884884463357,0.08850982228444398,0.6639963177569586
26.5,0.140859012625851,0.02329276046031619,0.841306800537771,0.18722593353224715,0.044498557361673435,0.7811101619563748,0.22721298662762937,0.06632617498458625,0.7229815329394286,0.26359010402262806,0.0874760747965292,0.6652033362413035
27.0,0.14091523615231621,0.02245072441319032,0.8420834531432452,0.18718371645320886,0.04346725616906098,0.782138176670573,0.22702924537955244,0.0652544499088449,0.7241475868923828,0.2633070034511639,0.08647105121813413,0.6663730451630999
27.5,0.1409835582827805,0.021655259202473714,0.8428016008255494,0.18715367870792865,0.04247830888531294,0.7831126072912987,0.22685746344178592,0.06421785811502526,0.725268606507394,0.26303496484847516,0.08549353800627738,0.6675071433517442
28.0,0.14106285118854894,0.020903316890870497,0.843465413871292,0.18713487889252034,0.04152945790525447,0.7840366172286894,0.22669689389149011,0.06321478015486762,0.7263468758496958,0.2627734116935653,0.08454238943622608,0.6686072283466337
