t,exact,h=1,h=0.5,h=0.25,h=0.125
0.12512512512512514,0.4757642679644025,,,,
0.12612612612612611,0.47372765886394924,,,,
0.12712712712712712,0.47170570560066305,,,,
0.12812812812812813,0.46969825083080596,,,,
0.12912912912912913,0.46770513968089666,,,,
0.13013013013013014,0.4657262196929661,,,,
0.13113113113113112,0.4637613407714304,,,,
0.13213213213213212,0.4618103551315204,,,,
0.13313313313313313,0.4598731172492122,,,,
0.13413413413413414,0.45794948381260314,,,,
0.13513513513513514,0.4560393136746795,,,,
0.13613613613613612,0.45414246780742656,,,,
0.13713713713713713,0.4522588092572331,,,,
0.13813813813813813,0.4503882031015454,,,,
0.13913913913913914,0.4485305164067233,,,,
0.14014014014014015,0.4466856181870601,,,,
0.14114114114114115,0.44485337936492414,,,,
0.14214214214214213,0.44303367273198246,,,,
